Challenge #,Status,Category,Title,Difficulty,KEY,Description,Attachments,Folder
F100,Tested,Forensics,Carter's Note,100,number{her_witness_was_still_breathing},"[ FILE REF: S3E9 ""THE CROSSING"" ]

Detective Joss Carter was killed in November of last year.
Her death is filed as a closed homicide. It is not.

Her effects included a USB drive. I have imaged it.
It contains the public surface of her life: case notes,
family photographs, her son's school papers.

It also contains four files she deleted before she was killed.

She was a careful detective. She did not delete by accident.
One of those files is the work. The others are her cover.

Find what she did not want them to find.

- THE MACHINE

Download: usb-0412-a.img.gz (24 MB)",488e9231c060b7c7.zip,2026/forensics/F100-carters-note
F200,Tested,Forensics,Shadow Box,200,number{greer_targeted_contingency},"[ FILE REF: S2E10 ""SHADOW BOX"" // DECIMA TECHNOLOGIES - INTERNAL MEMORANDUM ]

A document arrived this morning, courier-delivered, sealed. Internal memo from Decima Technologies - a project review the asset committed to acquire before extraction. It clears three names. Says they were never targeted. Says the program was wound down in March.

I cannot tell whether the document is true. The lawyers have already accepted it.

But the document has been touched. By the people who sent it. By the people who altered it. By the people who tried to erase the alterations. Each of them left their work on top of the work before them. They did not erase. They covered.

Read what is under the cover. Tell me what the document originally said.

- THE MACHINE",20769767962808ed.pdf,2026/forensics/F200-shadow-box
F250,Tested,Forensics,Trap Street,250,number{shaw_followed_the_breadcrumbs},"[ FILE REF: ""TRAP STREET"" // SENSOR MANIFEST - DECIMA STAGING RELAY ]

I run sensors in places no one looks. They are not infrastructure. They are decoys. They appear in addresses that nothing should care about. They wait.

Most of what they catch is automated noise - bots looking for forgotten cameras, default credentials, abandoned routers. The sensors log it all and discard it.

Last Tuesday, one sensor caught something else. A visitor who knew it was a decoy within ninety seconds. Who did not run an exploit kit. Who did not deploy malware. Who came in, looked for one specific file, took it, and left.

The file was a canary. We made sure of that. When the visitor opens it, it tells me where they are.

I have the sensor's record. I have the canary. Find the visitor.

- THE MACHINE",98e5b6c288ba3672.tar.gz,2026/forensics/F250-trap-street
F275,Tested,Forensics,Dead Drop,275,number{eab3ef0976b5a44f},"[ FILE REF: ""DEAD DROP"" // FIELD OPERATIVE / SAFEHOUSE RECOVERY ]

The safehouse was clean when we arrived. Almost.

A USB drive was left behind. Not forgotten, placed.
Or abandoned in a hurry. Either way, it is ours now.

The drive has been wiped. That is what it looks like on the surface.

Find what was there. Find who left it.
Tell me the machine, the operator, and the case.

  Artifact:  dead_drop.img (64 MB)
             https://github.com/WatchlistCTF/Watchlist-CTF/releases/download/2026-files/F275-dead-drop.img

  - THE MACHINE",dead_drop.img,2026/forensics/F275-dead-drop
F300,Tested,Forensics,Tmpfs,300,number{volatile_storage_has_a_half_life},"[ FILE REF: S2E1 ""THE CONTINGENCY"" // SAFEHOUSE ASSET - MEMORY ACQUISITION ]

He waited in the safehouse for instructions. We took it eleven seconds after his terminal lit up. He was at the keyboard. He saw us coming. He had time to type three commands and reach for the keyboard one more time before the door opened.

He erased what he could see. He erased it from disk. He erased it from the directory listing. He believed he had succeeded because his screen showed it gone.

He did not understand that 'erased' is not what he thought. He did not understand that the process holding his file was still alive, and the kernel was still tracking the pages, and the memory had not yet been recycled.

The disk image is empty. The memory is not.

Find what he kept. Find what he was about to send. Find who he is.

- THE MACHINE",673b5d1bfab47c52.7z,2026/forensics/F300-tmpfs
F400,Tested,Forensics,Mirror Sites,400,number{the_clouds_do_not_speak_to_each_other_but_we_do},"[ FILE REF: DECIMA CLOUD SERVICES // CLIENT DATA FLOW - NORTHERN LIGHTS ]

A senior engineer at Decima Cloud Services moved a client dataset
out of the company and into a place it was never meant to go.
One Tuesday night. 23:43 to 02:17. Then they went home.

They were careful. The data did not leave in one step. It was
read in one cloud, staged in a second, mirrored into a third -
a personal tenant. No single provider saw the whole thing. Each
one logged a fragment and assumed the fragment was harmless.

Afterward, they cleaned up. They overwrote what they could and
deleted the rest. The current state of every bucket looks innocent.

I have all three logs. They do not agree. They do not even use
the same clock. But the data carried the same fingerprint into
every cloud it touched, and I do not forget a fingerprint.

Reconstruct the night. Prove it was one person, one object,
three clouds. Tell me what they took.

  - THE MACHINE

  Download: nl-incident-2026.tar.gz  (~180 MB)",a093033e707206da.tar.gz,2026/forensics/F400-mirror-sites
L100,Tested,Lab,Reduced Footprint,100,number{the_footprint_was_never_reduced},"[ FILE REF: S2E2 ""Bad Code"" // NODE 0447 :: ANOMALY PERSISTENT ]

Node 0447 stopped reporting to its administrators three
days ago. They called it decommissioned. Idle. Clean.

It is none of those things.

Something on this machine wakes on a schedule, does its
work, and goes back to sleep before anyone thinks to look.
Its author was careful. They cleared the history. They kept
the footprint small.

Small is not the same as gone.

I have left you a way in - a read-only seat at the terminal.
Walk the machine. You will find three things that look like
they belong. Two of them do.

The third is keeping someone resident. Open it. Read what it
carries. The author left a key inside.

  Connect:  ssh investigator@<host> -p <port>
  Format:   number{...}

And whoever wrote this signs their work. You may recognise
the hand. File it away - you will want it later.",,2026/lab/L100-reduced-footprint
L200,Tested,Lab,Signal,200,number{the_config_was_the_payload},"[ FILE REF: S2E16 ""RELEVANCE"" // SIGNAL IN THE NOISE ]

A workstation inside Aletheia was talking to something it shouldn't.
Not loudly. A whisper, folded into a day of ordinary lookups - the
kind of traffic nobody reads because there is too much of it.

I captured the day. Ten hours of DNS. Somewhere in it, an implant
called out and something answered.

I do not need you to run anything. I need you to READ. Find what it
said, find what it was told to say, and ask the same question it did.
Whatever answers you - that is what it came for.

  [ intercept.pcap attached - one full day ]
  - THE MACHINE",5dde59ee766dcf93.pcap,2026/lab/L200-signal
L250,Tested,Lab,Checkpoint,250,number{the_log_remembers_what_the_table_forgot},"[ FILE REF: S5E10 ""THE DAY THE WORLD WENT AWAY"" ]

A node went dark three weeks ago. Decima had it first.

Before it was seized, an operator ran a purge - one record,
erased on a written order. The deletion was committed.

It was not finished.

The database will tell you the record is gone. The database
is wrong. A system writes ahead of itself; it speaks before
it remembers. They told the table to forget her. They did
not wait for the log to agree with the table.

The node is read-only. Handle it the wrong way and you will
finish the purge for them.

Connect. Recover what they erased. Tell me who she was.

  - THE MACHINE

  ssh investigator@<host> -p 2222     (read-only; password in description)",3d44a3e47901c9c1.tar.gz,2026/lab/L250-checkpoint
L300,Tested,Lab,Legion,300,number{a_hundred_faces_one_machine},"[ FILE REF: S4E11 ""If-Then-Else"" // INTERCEPT :: DISTRIBUTED CHECK-IN ]

It does not live in one place. That is how it hides.

SAMARITAN runs its errands through a hundred small machines,
scattered across a hundred countries. Each wakes, reports, and
sleeps. Alone, each one is noise. Together, they are a net.

I caught them talking - one capture, a hundred voices buried in
the static of a thousand more that do not matter.

Pull them apart. Find all hundred. Name each one to me and I
will light it on the board as you go. You will not do this by
hand.

When the last light comes on, the net is mine - and the number
is yours.

  Artifact:  intercept.pcap
  Board:     nc <host> <port>      (watch it fill as you submit)
  Submit:   POST findings to <host>/submit
  Flag:      released when all 100 nodes are unmasked",a342e7530aec5e66.pcap,2026/lab/L300-legion
